Date,Close,Volume
07-08-15,44.24,39785901
07-09-15,44.52,32424672
07-10-15,44.61,25465757
7/13/2015 16:00:00,45.54,28178329
7/14/2015 16:00:00,45.62,22880260
7/15/2015 16:00:00,45.76,26629615
7/16/2015 16:00:00,46.66,26271673
7/17/2015 16:00:00,46.62,29467107
7/20/2015 16:00:00,46.92,30631905
7/21/2015 16:00:00,47.28,42781899
7/22/2015 16:00:00,45.54,59152427
7/23/2015 16:00:00,46.11,33934010
7/24/2015 16:00:00,45.94,32333244
7/27/2015 16:00:00,45.35,39701420
7/28/2015 16:00:00,45.34,34328948
7/29/2015 16:00:00,46.29,40945864
7/30/2015 16:00:00,46.88,39777883
7/31/2015 16:00:00,46.7,31201480
08-03-15,46.81,24125886
08-04-15,47.54,33403916
08-05-15,47.58,26959655
08-06-15,46.62,27368000
08-07-15,46.74,19163038
08-10-15,47.33,23079870
08-11-15,46.41,29237402
08-12-15,46.74,30198532
8/13/2015 16:00:00,46.73,22627241
8/14/2015 16:00:00,47,21473402
8/17/2015 16:00:00,47.32,21099746
8/18/2015 16:00:00,47.27,23574104
8/19/2015 16:00:00,46.61,31485511
8/20/2015 16:00:00,45.66,36238227
8/21/2015 16:00:00,43.07,70053084
8/24/2015 16:00:00,41.68,88753660
8/25/2015 16:00:00,40.47,70616597
8/26/2015 16:00:00,42.71,63407996
8/27/2015 16:00:00,43.9,50943211
8/28/2015 16:00:00,43.93,28246725
8/31/2015 16:00:00,43.52,34441662
09-01-15,41.82,49688896
09-02-15,43.36,37671518
09-03-15,43.5,28285205
09-04-15,42.61,37138775
09-08-15,43.89,32469766
09-09-15,43.07,33469485
09-10-15,43.29,31366630
09-11-15,43.48,27132527
9/14/2015 16:00:00,43.04,23656048
9/15/2015 16:00:00,43.98,28882206
9/16/2015 16:00:00,44.3,23372162
9/17/2015 16:00:00,44.25,32768161
9/18/2015 16:00:00,43.48,63143684
9/21/2015 16:00:00,44.11,26177224
9/22/2015 16:00:00,43.9,28085903
9/23/2015 16:00:00,43.87,17145238
9/24/2015 16:00:00,43.91,27905607
9/25/2015 16:00:00,43.94,29384601
9/28/2015 16:00:00,43.29,27613785
9/29/2015 16:00:00,43.44,32763557
9/30/2015 16:00:00,44.26,34958880
10-01-15,44.61,28657859
10-02-15,45.57,41839035
10-05-15,46.63,34369286
10-06-15,46.75,27510808
10-07-15,46.8,27711492
10-08-15,47.45,33772709
10-09-15,47.11,28600632
10-12-15,47,19769066
10/13/2015 16:00:00,46.89,19987816
10/14/2015 16:00:00,46.68,24697766
10/15/2015 16:00:00,47.01,27189370
10/16/2015 16:00:00,47.51,26450334
10/19/2015 16:00:00,47.62,29387581
10/20/2015 16:00:00,47.77,30802235
10/21/2015 16:00:00,47.2,25264710
10/22/2015 16:00:00,48.03,56637074
10/23/2015 16:00:00,52.87,135227059
10/26/2015 16:00:00,54.25,64633324
10/27/2015 16:00:00,53.69,50999907
10/28/2015 16:00:00,53.98,47000753
10/29/2015 16:00:00,53.36,30202078
10/30/2015 16:00:00,52.64,46619761
11-02-15,53.24,30284982
11-03-15,54.15,36596931
11-04-15,54.4,37087849
11-05-15,54.38,31468485
11-06-15,54.92,32851204
11-09-15,54.16,32513067
11-10-15,53.51,55283697
11-11-15,53.65,36516260
11-12-15,53.32,35361095
11/13/2015 16:00:00,52.84,36848175
11/16/2015 16:00:00,53.77,32165198
11/17/2015 16:00:00,52.97,31551255
11/18/2015 16:00:00,53.85,29710030
11/19/2015 16:00:00,53.94,28149228
11/20/2015 16:00:00,54.19,37147608
11/23/2015 16:00:00,54.19,28235918
11/24/2015 16:00:00,54.25,24600043
11/25/2015 16:00:00,53.69,21005147
11/27/2015 16:00:00,53.93,9009132
11/30/2015 16:00:00,54.35,56241417
12-01-15,55.22,39952779
12-02-15,55.21,47274879
12-03-15,54.2,38627835
12-04-15,55.91,43963662
12-07-15,55.81,30709765
12-08-15,55.79,32878026
12-09-15,54.98,36373209
12-10-15,55.27,31775826
12-11-15,54.06,39549497
12/14/2015 16:00:00,55.14,47006491
12/15/2015 16:00:00,55.2,39842998
12/16/2015 16:00:00,56.13,37503300
12/17/2015 16:00:00,55.7,41280907
12/18/2015 16:00:00,54.13,84684164
12/21/2015 16:00:00,54.83,37246325
12/22/2015 16:00:00,55.35,28322241
12/23/2015 16:00:00,55.82,27279832
12/24/2015 16:00:00,55.67,9570002
12/28/2015 16:00:00,55.95,22458293
12/29/2015 16:00:00,56.55,27731403
12/30/2015 16:00:00,56.31,21704505
12/31/2015 16:00:00,55.48,27334061
01-04-16,54.8,53777963
01-05-16,55.05,34079674
01-06-16,54.05,39518863
01-07-16,52.17,56564852
01-08-16,52.33,48753969
01-11-16,52.3,36943756
01-12-16,52.78,36095539
1/13/2016 16:00:00,51.64,66883571
1/14/2016 16:00:00,53.11,52381918
1/15/2016 16:00:00,50.99,71820697
1/19/2016 16:00:00,50.56,43564538
1/20/2016 16:00:00,50.79,63272993
1/21/2016 16:00:00,50.48,40191157
1/22/2016 16:00:00,52.29,37555789
1/25/2016 16:00:00,51.79,34707717
1/26/2016 16:00:00,52.17,28900820
1/27/2016 16:00:00,51.22,36775194
1/28/2016 16:00:00,52.06,62513789
1/29/2016 16:00:00,55.09,83611686
02-01-16,54.71,44208542
02-02-16,53,56313753
02-03-16,52.16,57559814
02-04-16,52,46987123
02-05-16,50.16,62008994
02-08-16,49.41,59290497
02-09-16,49.28,46740474
02-10-16,49.71,38236954
02-11-16,49.69,48878571
02-12-16,50.5,34243324
2/16/2016 16:00:00,51.09,37291208
2/17/2016 16:00:00,52.42,40788968
2/18/2016 16:00:00,52.19,27176035
2/19/2016 16:00:00,51.82,33559073
2/22/2016 16:00:00,52.65,25008291
2/23/2016 16:00:00,51.18,28895274
2/24/2016 16:00:00,51.36,33014457
2/25/2016 16:00:00,52.1,26939467
2/26/2016 16:00:00,51.3,35975925
2/29/2016 16:00:00,50.88,31654036
03-01-16,52.58,33024535
03-02-16,52.95,29289884
03-03-16,52.35,24427813
03-04-16,52.03,33034150
03-07-16,51.03,38428816
03-08-16,51.65,33835119
03-09-16,52.84,28251588
03-10-16,52.05,38387804
03-11-16,53.07,32275677
3/14/2016 16:00:00,53.17,24083616
3/15/2016 16:00:00,53.59,21104763
3/16/2016 16:00:00,54.35,31691742
3/17/2016 16:00:00,54.66,20539771
3/18/2016 16:00:00,53.49,67625518
3/21/2016 16:00:00,53.86,23925716
3/22/2016 16:00:00,54.07,23124143
3/23/2016 16:00:00,53.97,20129015
3/24/2016 16:00:00,54.21,19949972
3/28/2016 16:00:00,53.54,17025050
3/29/2016 16:00:00,54.71,23924329
3/30/2016 16:00:00,55.05,23008260
3/31/2016 16:00:00,55.23,26360495
04-01-16,55.57,24399193
04-04-16,55.43,18928810
04-05-16,54.56,19272255
04-06-16,55.12,21188682
04-07-16,54.46,19225092
